band_name,fans,formed,origin,split,style
Skyfire,148,1995,Sweden,1995,Extreme power
Corrosion Of Conformity,146,1982,USA,-,Stoner
Vanden Plas,146,1990,Germany,1990,"Power,Progressive"
Halford,145,1999,United Kingdom,-,Heavy
In Extremo,145,1995,Germany,1995,Medieval folk
Mg?a,145,2000,Poland,-,Black
Solution .45,145,2007,Sweden,2007,Melodic death
Whispered,145,2001,Finland,-,Extreme power
Diamond Head,144,1976,United Kingdom,1976,"New wave of british heavy,Heavy"
Hate,144,1990,Poland,-,Death
God Dethroned,143,1990,The Netherlands,1990,"Death,Thrash"
Vreid,143,2004,Norway,-,Black
In The Silence,142,2009,USA,2009,Progressive
Static-X,142,1994,USA,2013,"Nu,Industrial,Alternative"
Nachtmystium,141,2000,USA,2000,"Black,Psychedelic black"
Royal Hunt,141,1989,Denmark,-,Symphonic power
Xasthur,141,1995,USA,1995,Depressive black
Suicidal Angels,140,2001,Greece,-,Thrash
Wolfchant,140,2003,Germany,2003,"Pagan folk,Melodic death"
ReVamp,139,2009,The Netherlands,2016,"Symphonic,Progressive"
Sadus,139,1984,USA,1984,"Death,Technical thrash"
Blackfield,138,2000,Israel,-,"Progressive rock,Avantgarde rock"
Nightrage,138,2000,"Greece, Sweden",2000,Melodic death
The 69 Eyes,138,1990,Finland,-,"Gothic,Glam rock,Gothic rock,Punk rock"
Pyramaze,137,2001,Denmark,2001,Progressive power
Serj Tankian,137,2007,USA,-,"Alternative,Hard rock"
Gloryhammer,136,2010,United Kingdom,2010,Power
Hour Of Penance,136,1999,Italy,-,Brutal death
Kalisia,136,1994,France,1994,Progressive death
Nargaroth,136,1996,Germany,-,Black
Trail Of Tears,136,1996,Norway,1996,Gothic
Sanctuary,135,1985,USA,-,Us power
Woods Of Desolation,135,2005,Australia,2005,Atmospheric black
Agathodaimon,134,1995,Germany,2014,"Symphonic black,Extreme gothic"
Sinergy,134,1997,"Sweden, Finland",1997,"Heavy,Power"
Sonic Syndicate,134,2002,Sweden,-,"Gothenburg,Metalcore"
Wuthering Heights,134,1989,Denmark,1989,"Progressive power,Folk"
I,133,2006,Norway,-,Blackened heavy
Heavenwood,132,1992,Portugal,1992,"Death,Gothic,Gothic doom"
Pig Destroyer,132,1997,USA,-,Grindcore
Doro,131,1987,Germany,1987,"Hard rock,Heavy"
Incantation,131,1989,USA,-,Death
Virgin Steele,131,1981,USA,1981,"Heavy,Symphonic"
Anvil,130,1978,Canada,-,Heavy
Bal-Sagoth,130,1989,United Kingdom,1989,"Symphonic black,Power"
Crowbar,130,1989,USA,-,Sludge
Mourning Beloveth,130,1992,Ireland,1992,Death doom
Oranssi Pazuzu,130,2007,Finland,-,Psychedelic black
Saor,130,2013,United Kingdom,2013,"Atmospheric black,Folk"
Ancient Bards,129,2006,Italy,-,Symphonic power
Dark Lunacy,129,1997,Italy,1997,"Melodic death,Symphonic"
Fairyland,129,1998,France,-,Symphonic power
Gama Bomb,129,2002,Ireland,2002,Thrash
In The Woods...,129,1991,Norway,-,"Black,Avantgarde,Progressive"
Leviathan,129,1998,USA,1998,Ambient black
Sybreed,129,2003,Switzerland,2013,"Groove thrash,Industrial"
Spiritual Beggars,127,1992,Sweden,1992,"Heavy,Stoner"
In This Moment,126,2005,USA,-,"Melodic metalcore,Alternative"
Saint Vitus,126,1979,USA,1979,Doom
U.D.O.,126,1987,Germany,-,Heavy
Atreyu,125,1998,USA,1998,"Melodic metalcore,Alternative"
Communic,125,2003,Norway,-,Progressive
Godflesh,125,1988,United Kingdom,1988,Industrial
